abelheiro	abelheiro	Gender=Masc|Number=Sing
abelheiros	abelheiro	Gender=Masc|Number=Plur
abelhinha	abelhinho	Gender=Fem|Number=Sing
abelhinhas	abelhinho	Gender=Fem|Number=Plur
abelhuco	abelhuco	Gender=Masc|Number=Sing
abelhucos	abelhuco	Gender=Masc|Number=Plur
abelhuda	abelhudo	Gender=Fem|Number=Sing
abelhudas	abelhudo	Gender=Fem|Number=Plur
abelhudice	abelhudice	Gender=Fem|Number=Sing
abelhudices	abelhudice	Gender=Fem|Number=Plur
abelhudo	abelhudo	Gender=Masc|Number=Sing
abelhudos	abelhudo	Gender=Masc|Number=Plur
abelhão	abelhão	Gender=Masc|Number=Sing
abelhões	abelhão	Gender=Masc|Number=Plur
abençoador	abençoador	Gender=Masc|Number=Sing
abençoadora	abençoador	Gender=Fem|Number=Sing
abençoadoras	abençoador	Gender=Fem|Number=Plur
abençoadores	abençoador	Gender=Masc|Number=Plur
aberas	aberas	Gender=Masc
aberração	aberração	Gender=Fem|Number=Sing
aberrações	aberração	Gender=Fem|Number=Plur
aberta	aberto	Gender=Fem|Number=Sing
abertas	aberto	Gender=Fem|Number=Plur
aberto	aberto	Gender=Masc|Number=Sing
abertos	aberto	Gender=Masc|Number=Plur
abertura	abertura	Gender=Fem|Number=Sing
aberturas	abertura	Gender=Fem|Number=Plur
abespinhamento	abespinhamento	Gender=Masc|Number=Sing
abespinhamentos	abespinhamento	Gender=Masc|Number=Plur
abeta	abeta	Gender=Fem|Number=Sing
abetalipoproteinemia	abetalipoproteinemia	Gender=Fem|Number=Sing
abetalipoproteinemias	abetalipoproteinemia	Gender=Fem|Number=Plur
abetas	abeta	Gender=Fem|Number=Plur
abete	abete	Gender=Masc|Number=Sing
abetes	abete	Gender=Masc|Number=Plur
abeto	abeto	Gender=Masc|Number=Sing
abetos	abeto	Gender=Masc|Number=Plur
abi	abi	Gender=Masc|Number=Sing
abicadouro	abicadouro	Gender=Masc|Number=Sing
abicadouros	abicadouro	Gender=Masc|Number=Plur
abieiro	abieiro	Gender=Masc|Number=Sing
abieiros	abieiro	Gender=Masc|Number=Plur
abigeato	abigeato	Gender=Masc|Number=Sing
abigeatos	abigeato	Gender=Masc|Number=Plur
abigeatária	abigeatário	Gender=Fem|Number=Sing
abigeatárias	abigeatário	Gender=Fem|Number=Plur
abigeatário	abigeatário	Gender=Masc|Number=Sing
abigeatários	abigeatário	Gender=Masc|Number=Plur
abio	abio	Gender=Masc|Number=Sing
abioceno	abioceno	Gender=Masc|Number=Sing
abiocenos	abioceno	Gender=Masc|Number=Plur
abiogênese	abiogênese	Gender=Fem|Number=Sing
abiogêneses	abiogênese	Gender=Fem|Number=Plur
abios	abio	Gender=Masc|Number=Plur
abiose	abiose	Gender=Fem|Number=Sing
abioses	abiose	Gender=Fem|Number=Plur
abiotrofia	abiotrofia	Gender=Fem|Number=Sing
abiotrofias	abiotrofia	Gender=Fem|Number=Plur
abiquara	abiquara	Gender=Fem|Number=Sing
abiquaras	abiquara	Gender=Fem|Number=Plur
abirritação	abirritação	Gender=Fem|Number=Sing
abirritações	abirritação	Gender=Fem|Number=Plur
abis	abi	Gender=Masc|Number=Plur
abisga	abisga	Gender=Fem|Number=Sing
abisgas	abisga	Gender=Fem|Number=Plur
abismamento	abismamento	Gender=Masc|Number=Sing
abismamentos	abismamento	Gender=Masc|Number=Plur
abismo	abismo	Gender=Masc|Number=Sing
abismos	abismo	Gender=Masc|Number=Plur
abisso	abisso	Gender=Masc|Number=Sing
abissos	abisso	Gender=Masc|Number=Plur
abissínia	abissínio	Gender=Fem|Number=Sing
abissínias	abissínio	Gender=Fem|Number=Plur
abissínio	abissínio	Gender=Masc|Number=Sing
abissínios	abissínio	Gender=Masc|Number=Plur
abita	abita	Gender=Fem|Number=Sing
abitas	abita	Gender=Fem|Number=Plur
abiu	abiu	Gender=Masc|Number=Sing
abius	abiu	Gender=Masc|Number=Plur
abjeção	abjeção	Gender=Fem|Number=Sing
abjeções	abjeção	Gender=Fem|Number=Plur
abjudicação	abjudicação	Gender=Fem|Number=Sing
abjudicações	abjudicação	Gender=Fem|Number=Plur
abjuramento	abjuramento	Gender=Masc|Number=Sing
abjuramentos	abjuramento	Gender=Masc|Number=Plur
abjuração	abjuração	Gender=Fem|Number=Sing
abjurações	abjuração	Gender=Fem|Number=Plur
